community,province,population,population_type (Census 2016),lat,long,violence_rate,year,nat_avg
Port Coquitlam,BC,123576,Federal electoral district,49.2628,-122.7811,578,2014,1088.4
St-Pierre-Jolys,MB,1170,Census subdivision,49.4403,-96.9851,579,2011,1346.6
Cobourg,ON,19440,Census subdivision,43.9593,-78.1677,580,2012,1310.8
Iles-de-la-Madeleine,QC,12475,Census division,47.3877,-61.9012,580,2014,1088.4
Markdale (Grey Highlands),ON,9804,Census subdivision,44.3187,-80.6479,580,2013,1200.9
Ottawa,ON,934243,Census subdivision,45.4215,-75.6972,580,2014,1088.4
Port Coquitlam,BC,123576,Federal electoral district,49.2628,-122.7811,580,2013,1200.9
East Interlake,MB,91743,Economic region,50.833333,-97.66667,581,2011,1346.6
Erable Region,QC,,,46.1908,-71.6338,581,2013,1200.9
Riviere-du-Nord Region,QC,112156,Federal electoral district,45.816667,-74.01667,581,2009,1450
Roussillon Region,QC,171443,Census division,45.3701,-73.6303,582,2014,1088.4
Stirling,ON,4882,Census subdivision,44.3603,-77.5921,582,2015,1113.9
Bracebridge/Bala,ON,,,45.039,-79.3079,583,2014,1088.4
Elgin County,ON,88907,Census division,42.6646,-80.9871,583,2012,1310.8
Lameque,NB,1285,Census subdivision,43.0527,-82.0407,583,2009,1450
Mekinac Region,QC,12358,Census division,46.816667,-72.51667,583,2015,1113.9
Pitt Meadows,BC,18573,Census subdivision,49.2191,-122.6895,583,2013,1200.9
Stirling,ON,4882,Census subdivision,44.3603,-77.5921,583,2014,1088.4
Cobourg,ON,19440,Census subdivision,43.9593,-78.1677,584,2013,1200.9
Haldimand County,ON,45608,Census subdivision,42.9277,-79.8762,584,2013,1200.9
Kativik Region,QC,,,58.602778,-70.96547,584,2015,1113.9
Morris,MB,1885,Census subdivision,49.3545,-97.3647,584,2009,1450
Oceanside,BC,,,49.328,-124.397,584,2011,1346.6
Qualicum Beach,BC,8943,Census subdivision,49.3482,-124.4428,584,2008,1357.159959
Roussillon Region,QC,171443,Census division,45.3701,-73.6303,584,2015,1113.9
Sturgeon Falls,ON,,,46.3666,-79.9313,584,2013,1200.9
Vallee-du-Richelieu Region,QC,124420,Census division,45.5963,-73.2001,584,2012,1310.8
Bracebridge/Bala,ON,,,45.039,-79.3079,585,2008,1357.159959
Kindersley,SK,4571,Census subdivision,51.4675,-109.1547,585,2009,1450
Martensville,SK,9645,Census subdivision,52.2931,-106.6578,585,2012,1310.8
Picture Butte,AB,1810,Census subdivision,49.873,-112.7802,585,2012,1310.8
Erable Region,QC,,,46.1908,-71.6338,586,2008,1357.159959
Grey County (Chatsworth),ON,6630,Census subdivision,44.4562,-80.8975,586,2011,1346.6
Lambton (St. Clair/Lambton Shores),ON,24717,Census subdivision,48.8258,-124.0542,586,2011,1346.6
North Vancouver City,BC,52898,Census subdivision,49.32,-123.0724,586,2015,1113.9
Robert-Cliche Region,QC,19125,Census division,46.2556,-70.8483,586,2009,1450
University,BC,,,45.8267,-77.1109,586,2014,1088.4
Coquitlam,BC,139284,Census subdivision,49.2838,-122.7932,587,2011,1346.6
Huronia West/Springwater,ON,19059,Census division,44.513,-79.8745,587,2009,1450
Lac-Saint-Jean-Est Region,QC,52741,Census division,48.474,-71.7488,587,2015,1113.9
Memphremagog Region,QC,50415,Census division,45.266667,-72.08333,587,2011,1346.6
Oxford,ON,110862,Census division,43.184,-80.7214,587,2012,1310.8
Sooke,BC,13001,Census subdivision,48.374,-123.7356,587,2012,1310.8
Chatham-Kent,ON,101647,Census subdivision,42.4048,-82.191,588,2013,1200.9
Morris,MB,1885,Census subdivision,49.3545,-97.3647,588,2013,1200.9
Oxford (Ingersoll),ON,12757,Census subdivision,43.0382,-80.884,588,2015,1113.9
Grenville County (Prescott/Augusta),ON,11575,Census subdivision,44.7093,-75.519,589,2011,1346.6
Perth County (West Perth),ON,8865,Census subdivision,43.4908,-81.2078,589,2012,1310.8
Cochrane,AB,65589,Census subdivision,51.191,-114.4679,590,2011,1346.6
Peterborough County (Municipality of Trent Lakes),ON,5397,Census subdivision,44.6725,-78.4181,590,2009,1450
Two Hills,AB,1352,Census subdivision,53.7116,-111.7449,590,2015,1113.9
Mount Forest (Southgate),ON,7354,Census subdivision,43.9811,-80.7359,591,2010,1493.7
Peel Region (Mississauga/Brampton),ON,1381739,Census division,43.616667,-79.61667,591,2008,1357.159959
Val-Saint-Francois Region,QC,30686,Census division,45.5258,-72.125,591,2008,1357.159959
Collingwood (The Blue Mountains),ON,7025,Census subdivision,44.483333,-80.38333,592,2013,1200.9
Essex,ON,20427,Census subdivision,42.1727,-82.8189,592,2009,1450
Killaloe,ON,2420,Census subdivision,45.555,-77.4164,592,2013,1200.9
Oxford,ON,110862,Census division,43.184,-80.7214,592,2011,1346.6
Rideau Lakes (Westport),ON,10326,Census subdivision,44.6582,-76.2796,592,2010,1493.7
Rideau Lakes (Westport),ON,10326,Census subdivision,44.6582,-76.2796,592,2011,1346.6
White Butte,SK,,,50.466667,-104.41667,592,2012,1310.8
Memphremagog Region,QC,50415,Census division,45.266667,-72.08333,593,2008,1357.159959
Beiseker,AB,819,Census subdivision,51.385,-113.5353,594,2010,1493.7
Burnaby,BC,232755,Census subdivision,49.2488,-122.9805,594,2015,1113.9
Montague,PEI,1961,Census subdivision,46.1651,-62.648,594,2014,1088.4
Perth County (St. Marys),ON,7265,Census subdivision,43.2596,-81.1407,594,2012,1310.8
Picture Butte,AB,1810,Census subdivision,49.873,-112.7802,594,2013,1200.9
Sooke,BC,13001,Census subdivision,48.374,-123.7356,594,2014,1088.4
Basques Region,QC,8694,Census division,48.1,-69.06667,595,2015,1113.9
Fernie,BC,5249,Census subdivision,49.504,-115.0631,595,2015,1113.9
Lac des Deux-Montagnes,QC,17496,Census subdivision,52.939,-66.9142,595,2013,1200.9
Northumberland (Brighton),ON,5861,Census subdivision,44.0423,-77.7369,595,2013,1200.9
Strathroy-Caradoc,ON,20867,Census subdivision,42.9575,-81.61667,595,2011,1346.6
Killam,AB,989,Census subdivision,52.7911,-111.8606,597,2012,1310.8
Port Hope,ON,16753,Census subdivision,43.9492,-78.2934,597,2009,1450
Coldstream,BC,10648,Census subdivision,50.2241,-119.1683,598,2008,1357.159959
Saugeen Shores,ON,13715,Census subdivision,44.4225,-81.4035,598,2015,1113.9
Temiscouata Region,QC,19574,Census division,47.683333,-68.88333,598,2008,1357.159959
Haute-Yamaska Region,QC,88306,Census division,45.4478,-72.6128,599,2014,1088.4
Lameque,NB,1285,Census subdivision,43.0527,-82.0407,599,2008,1357.159959
Lotbiniere Region,QC,31741,Census division,46.6166,-71.9307,599,2015,1113.9
Northern Peninsula District,NL,,,50.4635,-56.76864,599,2012,1310.8
Delta,BC,102238,Census subdivision,49.0952,-123.0265,600,2011,1346.6
Humboldt,SK,5869,Census subdivision,52.202,-105.1229,600,2014,1088.4
York Region (Markham/Vaughan),ON,328966,Census subdivision,43.9885,-79.4704,600,2008,1357.159959
Killam,AB,989,Census subdivision,52.7911,-111.8606,601,2011,1346.6
Edmundston,NB,16580,Census subdivision,47.369,-68.3267,602,2014,1088.4
Martensville,SK,9645,Census subdivision,52.2931,-106.6578,602,2015,1113.9
Westman,MB,,,49.875,-100.33333,602,2014,1088.4
Okotoks,AB,28881,Census subdivision,50.7255,-113.9749,603,2012,1310.8
Qualicum Beach,BC,8943,Census subdivision,49.3482,-124.4428,603,2009,1450
White Rock,BC,19952,Census subdivision,49.0253,-122.803,603,2008,1357.159959
White Butte,SK,,,50.466667,-104.41667,604,2014,1088.4
Bracebridge/Bala,ON,,,45.039,-79.3079,605,2009,1450
Bromont,QC,9041,Census subdivision,45.2852,-72.6872,606,2009,1450
Rimouski-Neigette Region,QC,56650,Census division,48.4071,-68.59,606,2008,1357.159959
"Beresford, Nigadoo, Petit-Rocher, Pointe-Verte",NB,6248,Census subdivision,47.8,-65.7,607,2011,1346.6
City of Kawartha Lakes,ON,75423,Census subdivision,44.5337,-78.9006,607,2011,1346.6
Collingwood (The Blue Mountains),ON,7025,Census subdivision,44.483333,-80.38333,607,2008,1357.159959
Stormont/Dundas/Glengarry,ON,,,45.1228,-74.8733,607,2013,1200.9
Stormont/Dundas/Glengarry,ON,,,45.1228,-74.8733,607,2015,1113.9
Strathroy-Caradoc,ON,20867,Census subdivision,42.9575,-81.61667,607,2012,1310.8
Sturgeon Falls,ON,,,46.3666,-79.9313,607,2010,1493.7
Deer Lake,NL,5249,Census subdivision,49.1732,-57.4339,608,2014,1088.4
Durham Region (Oshawa/Whitby/Ajax),ON,645862,Census division,43.916667,-78.93333,608,2011,1346.6
Spirit River,AB,995,Census subdivision,55.7803,-118.8421,608,2014,1088.4
Val-Saint-Francois Region,QC,30686,Census division,45.5258,-72.125,608,2015,1113.9
Bracebridge/Bala,ON,,,45.039,-79.3079,609,2012,1310.8
L'Islet Region,QC,17798,Census division,45.852,-73.4124,609,2011,1346.6
Montmagny Region,QC,22698,Census division,46.9801,-70.5566,609,2011,1346.6
Stratford,PEI,,,46.2159,-63.0886,609,2008,1357.159959
Ste. Marie,QC,,,46.439,-71.0213,610,2008,1357.159959
Etchemins Region,QC,16536,Census division,46.2986,-70.4137,611,2010,1493.7
Leeds County (Brockville),ON,21346,Census subdivision,44.5895,-75.6843,611,2008,1357.159959
Magog,QC,26669,Census subdivision,45.2665,-72.148,611,2010,1493.7
Bracebridge/Bala,ON,,,45.039,-79.3079,612,2015,1113.9
Huron/Wingham,ON,59297,,43.8879,-81.3117,612,2015,1113.9
Kamouraska Region,QC,616,Census subdivision,47.5661,-69.866,612,2011,1346.6
Sidney,BC,11672,Census subdivision,48.6502,-123.399,612,2010,1493.7
Jardins de Napierville Region,QC,27870,Census division,45.1287,-73.5596,613,2014,1088.4
Montmagny Region,QC,22698,Census division,46.9801,-70.5566,613,2015,1113.9
West Grey,ON,12518,Census subdivision,44.2214,-80.8544,613,2009,1450
Caraquet,NB,4248,Town,47.7897,-64.9628,614,2015,1113.9
Cumberland County,NS,30005,Census division,45.8006,-63.8594,614,2014,1088.4
High River,AB,13584,Census subdivision,50.5801,-113.8707,614,2014,1088.4
Huronia West/Springwater,ON,19059,Census division,44.513,-79.8745,614,2008,1357.159959
Saltspring Island,BC,10557,Census subdivision,48.8167,-123.5089,614,2011,1346.6
West Grey,ON,12518,Census subdivision,44.2214,-80.8544,614,2008,1357.159959
Mascouche,QC,46692,Census subdivision,45.7773,-73.6324,615,2008,1357.159959
Portneuf Region,QC,53008,Census division,46.6985,-71.891,615,2015,1113.9
Boundary/Grand Forks,BC,3225,Census subdivision,49.0301,-118.4451,616,2012,1310.8
Kamouraska Region,QC,616,Census subdivision,47.5661,-69.866,616,2010,1493.7
Saugeen Shores,ON,13715,Census subdivision,44.4225,-81.4035,616,2010,1493.7
Huronia West/Springwater,ON,19059,Census division,44.513,-79.8745,618,2012,1310.8
Ottawa,ON,934243,Census subdivision,45.4215,-75.6972,618,2010,1493.7
South Bruce (Kincardine),ON,11389,Census subdivision,44.023,-81.2078,618,2013,1200.9
Etchemins Region,QC,16536,Census division,46.2986,-70.4137,619,2012,1310.8
Huntsville,ON,19816,,45.3269,-79.2168,619,2014,1088.4
Lotbiniere Region,QC,31741,Census division,46.6166,-71.9307,619,2008,1357.159959
Maria-Chapdelaine Region,QC,24793,Census division,49.614,-72.0911,619,2008,1357.159959
Ottawa,ON,934243,Census subdivision,45.4215,-75.6972,619,2013,1200.9
Collingwood (The Blue Mountains),ON,7025,Census subdivision,44.483333,-80.38333,620,2015,1113.9
Saanich,BC,114148,Census subdivision,48.4593,-123.3767,620,2010,1493.7
Lanark County (Drummond-North Elmsley),ON,7773,Census subdivision,44.9702,-76.2018,621,2015,1113.9
Parksville,BC,12514,,49.3193,-124.3136,621,2012,1310.8
St-Pierre-Jolys,MB,1170,Census subdivision,49.4403,-96.9851,621,2015,1113.9
Stratford,PEI,,,46.2159,-63.0886,621,2012,1310.8
Three Hills,AB,3212,Census subdivision,51.7071,-113.2649,621,2013,1200.9
Woodstock,ON,40902,Census subdivision,43.1315,-80.7472,621.9,2015,1113.9
Edmundston,NB,16580,Census subdivision,47.369,-68.3267,622,2013,1200.9
Aylmer,ON,7492,Census subdivision,42.7729,-80.9829,623,2014,1088.4
Erable Region,QC,,,46.1908,-71.6338,623,2011,1346.6
Essex County (Kingsville),ON,21552,Census subdivision,42.0363,-82.739,623,2008,1357.159959
Markdale (Grey Highlands),ON,9804,Census subdivision,44.3187,-80.6479,623,2012,1310.8
Saanich,BC,114148,Census subdivision,48.4593,-123.3767,623,2008,1357.159959
South Bruce (Kincardine),ON,11389,Census subdivision,44.023,-81.2078,623,2009,1450
Appalaches Region,QC,42346,Census division,46.483333,-70.61667,624,2011,1346.6
Huronia West/Springwater,ON,19059,Census division,44.513,-79.8745,624,2015,1113.9
Kamouraska Region,QC,616,Census subdivision,47.5661,-69.866,624,2008,1357.159959
Lotbiniere Region,QC,31741,Census division,46.6166,-71.9307,624,2013,1200.9
North Vancouver City,BC,52898,Census subdivision,49.32,-123.0724,624,2014,1088.4
Vaudreuil-Soulanges Region,QC,149309,Census division,45.3834,-74.2591,624,2009,1450
Comox Valley,BC,66527,Census division,49.7064,-125.0219,625,2012,1310.8
Etchemins Region,QC,16536,Census division,46.2986,-70.4137,625,2011,1346.6
Kamouraska Region,QC,616,Census subdivision,47.5661,-69.866,625,2009,1450
Perth County (North Perth),ON,13130,Census subdivision,43.7749,-80.9429,625,2013,1200.9
Picture Butte,AB,1810,Census subdivision,49.873,-112.7802,625,2010,1493.7
Shawnigan Lake,BC,3945,Designated place,48.6512,-123.645,625,2010,1493.7
Three Hills,AB,3212,Census subdivision,51.7071,-113.2649,625,2015,1113.9
Val-Saint-Francois Region,QC,30686,Census division,45.5258,-72.125,625,2014,1088.4
Beauce-Sartigan Region,QC,52406,Census division,46.0551,-70.2328,626,2013,1200.9
Blainville,QC,56863,Census subdivision,45.6689,-73.8729,626,2015,1113.9
Collingwood (The Blue Mountains),ON,7025,Census subdivision,44.483333,-80.38333,626,2012,1310.8
Lacombe,AB,13057,Census subdivision,48.474,-71.7488,626,2008,1357.159959
Mirabel,QC,50513,Census subdivision,45.6519,-74.0902,626,2011,1346.6
Mount Forest (Southgate),ON,7354,Census subdivision,43.9811,-80.7359,627,2014,1088.4
Sherbrooke,QC,161323,,45.401,-71.8824,627,2015,1113.9
St-Pierre-Jolys,MB,1170,Census subdivision,49.4403,-96.9851,627,2013,1200.9
Sturgeon Falls,ON,,,46.3666,-79.9313,627,2009,1450
Vallee-du-Richelieu Region,QC,124420,Census division,45.5963,-73.2001,627,2013,1200.9
Blainville,QC,56863,Census subdivision,45.6689,-73.8729,628,2012,1310.8
Durham Region (Oshawa/Whitby/Ajax),ON,645862,Census division,43.916667,-78.93333,628,2010,1493.7
Lambton (St. Clair/Lambton Shores),ON,24717,Census subdivision,43.0527,-82.0407,628,2015,1113.9
Aylmer,ON,7492,Census subdivision,42.7729,-80.9829,629,2011,1346.6
Port Coquitlam,BC,123576,Federal electoral district,49.2628,-122.7811,629,2015,1113.9
Rainy River District (Emo/Rainy River),ON,20110,Census division,48.8499,-92.637,629,2015,1113.9
Didsbury,AB,5268,Census subdivision,51.6608,-114.1365,630,2009,1450
Leeds County (Brockville),ON,21346,Census subdivision,44.5895,-75.6843,630,2015,1113.9
Middlesex,ON,455526,Census division,42.931,-81.4279,630,2012,1310.8
Mount Forest (Southgate),ON,7354,Census subdivision,43.9811,-80.7359,630,2015,1113.9
Okotoks,AB,28881,Census subdivision,50.7255,-113.9749,630,2011,1346.6
Rideau Lakes (Westport),ON,10326,Census subdivision,44.6582,-76.2796,630,2009,1450
Coaticook Region,QC,18497,Census division,45.1337,-71.8039,632,2014,1088.4
Nottawasaga (New Tecumseth/Essa/Adjala Tosorontio),ON,66300,Census subdivision,44.133333,-79.93333,632,2008,1357.159959
Stratford,ON,31465,Census subdivision,43.37,-80.9822,632,2015,1113.9
Middlesex,ON,455526,Census division,42.931,-81.4279,633,2010,1493.7
Robert-Cliche Region,QC,19125,Census division,46.2556,-70.8483,633,2012,1310.8
Robert-Cliche Region,QC,19125,Census division,46.2556,-70.8483,633,2015,1113.9
Bracebridge/Bala,ON,,,45.039,-79.3079,634,2011,1346.6
Coaticook Region,QC,18497,Census division,45.1337,-71.8039,634,2012,1310.8
East Algoma (Blind River/Thessalon),ON,4758,Census subdivision,48,-84.5,634,2010,1493.7
Nottawasaga (New Tecumseth/Essa/Adjala Tosorontio),ON,66300,Census subdivision,44.133333,-79.93333,634,2015,1113.9
Cote-de-Beaupre Region,QC,28199,Census division,47.4123,-71.274,635,2015,1113.9
Halifax County,NS,403390,Census division,44.9,-63.1,635,2011,1346.6
Peterborough County (Cavan-Millbrook-North Monaghan),ON,138236,Census division,44.2087,-78.4525,635,2012,1310.8
Temiscouata Region,QC,19574,Census division,47.683333,-68.88333,636,2013,1200.9
Woodstock,ON,40902,Census subdivision,43.1315,-80.7472,636.6,2014,1088.4
Martensville,SK,9645,Census subdivision,52.2931,-106.6578,637,2011,1346.6
"Beresford, Nigadoo, Petit-Rocher, Pointe-Verte",NB,6248,Census subdivision,47.8,-65.7,638,2013,1200.9
Chenaux Region,QC,,,46.5,-72.41667,638,2015,1113.9
Appalaches Region,QC,42346,Census division,46.483333,-70.61667,639,2014,1088.4
Haliburton Highlands,ON,18062,Census division,45.0467,-78.5085,639,2015,1113.9
Lévis,QC,143414,Census subdivision,46.7382,-71.2465,639,2009,1450
Sturgeon Falls,ON,,,46.3666,-79.9313,639,2011,1346.6
Burnaby,BC,232755,Census subdivision,49.2488,-122.9805,640,2013,1200.9
L'Islet Region,QC,17798,Census division,45.852,-73.4124,640,2014,1088.4
Strathroy-Caradoc,ON,20867,Census subdivision,42.9575,-81.61667,640,2008,1357.159959
Haliburton Highlands,ON,18062,Census division,45.0467,-78.5085,641,2011,1346.6
La Ronge,SK,2688,Census subdivision,47.1031,-70.35,641,2008,1357.159959
Mekinac Region,QC,12358,Census division,46.816667,-72.51667,641,2011,1346.6
Northumberland (Brighton),ON,5861,Census subdivision,44.0423,-77.7369,641,2015,1113.9
Saanich,BC,114148,Census subdivision,48.4593,-123.3767,641,2015,1113.9
Cote-de-Beaupre Region,QC,28199,Census division,47.4123,-71.274,642,2010,1493.7
Martensville,SK,9645,Census subdivision,52.2931,-106.6578,642,2009,1450
North Vancouver City,BC,52898,Census subdivision,49.32,-123.0724,642,2013,1200.9
Memphremagog Region,QC,50415,Census division,45.266667,-72.08333,643,2010,1493.7
Montague,PEI,1961,Census subdivision,46.1651,-62.648,643,2012,1310.8
Cochrane,AB,65589,Census subdivision,51.191,-114.4679,644,2009,1450
Fjord-du-Saguenay Region,QC,161635,Census division,48.45,-70.9,644,2009,1450
Mascouche,QC,46692,Census subdivision,45.7773,-73.6324,644,2010,1493.7
Napanee (Stone Mills),ON,7702,Census subdivision,44.4402,-76.9746,644,2012,1310.8
Robert-Cliche Region,QC,19125,Census division,46.2556,-70.8483,644,2011,1346.6
University,BC,,,45.8267,-77.1109,644,2012,1310.8
Perth County (North Perth),ON,13130,Census subdivision,43.7749,-80.9429,645,2008,1357.159959
Blainville,QC,56863,Census subdivision,45.6689,-73.8729,646,2013,1200.9
Comox Valley,BC,66527,Census division,49.7064,-125.0219,646,2008,1357.159959
Lanark County (Drummond-North Elmsley),ON,7773,Census subdivision,44.9702,-76.2018,646,2014,1088.4
West Shore,BC,,,48.418,-123.504,646,2014,1088.4
Becancour Region,QC,20404,Census division,46.3506,-72.4351,647,2009,1450
Calgary,AB,1239220,Census subdivision,51.0486,-114.0708,647,2013,1200.9
Clarenville,NL,6291,Census subdivision,48.1682,-53.9646,647,2015,1113.9
West Kelowna,BC,32655,Census subdivision,49.8636,-119.5645,647,2015,1113.9
Burnaby,BC,232755,Census subdivision,49.2488,-122.9805,648,2014,1088.4
Calgary,AB,1239220,Census subdivision,51.0486,-114.0708,648,2012,1310.8
Erable Region,QC,,,46.1908,-71.6338,648,2010,1493.7
Grey County (Meaford),ON,10991,Census subdivision,44.6059,-80.5937,648,2008,1357.159959
Morris,MB,1885,Census subdivision,49.3545,-97.3647,648,2011,1346.6
Coaticook Region,QC,18497,Census division,45.1337,-71.8039,650,2013,1200.9
Northumberland (Cramahe),ON,6355,Census subdivision,44.0928,-77.8825,650,2010,1493.7
Mascouche,QC,46692,Census subdivision,45.7773,-73.6324,651,2011,1346.6
White Rock,BC,19952,Census subdivision,49.0253,-122.803,651,2011,1346.6
Perth County (St. Marys),ON,7265,Census subdivision,43.2596,-81.1407,652,2010,1493.7
Bromont,QC,9041,Census subdivision,45.2852,-72.6872,653,2013,1200.9
Cote-de-Beaupre Region,QC,28199,Census division,47.4123,-71.274,653,2014,1088.4
Nottawasaga (New Tecumseth/Essa/Adjala Tosorontio),ON,66300,Census subdivision,44.133333,-79.93333,653,2009,1450
Port Hope,ON,16753,Census subdivision,43.9492,-78.2934,653,2013,1200.9
Temiscouata Region,QC,19574,Census division,47.683333,-68.88333,653,2015,1113.9
Chestermere,AB,19887,Census subdivision,51.0498,-113.8233,654,2013,1200.9
Haute-Yamaska Region,QC,88306,Census division,45.4478,-72.6128,654,2015,1113.9
Huron (Central Huron),ON,7576,Census subdivision,43.6636,-81.4718,655,2015,1113.9
Nottawasaga (New Tecumseth/Essa/Adjala Tosorontio),ON,66300,Census subdivision,44.133333,-79.93333,655,2011,1346.6
Orangeville,ON,28900,Census subdivision,43.92,-80.0943,655,2011,1346.6
Prairie Mountain,MB,1420,Census subdivision,49.8478,-99.949,655,2015,1113.9
Canmore,AB,13992,Census subdivision,51.0892,-115.3597,656,2013,1200.9
Chenaux Region,QC,,,46.5,-72.41667,656,2009,1450
Perth County (West Perth),ON,8865,Census subdivision,43.4908,-81.2078,656,2011,1346.6
Bromont,QC,9041,Census subdivision,45.2852,-72.6872,657,2010,1493.7
Charlottetown,PEI,36094,Census subdivision,46.2382,-63.1311,657,2014,1088.4
Haut-Saint-François Region,QC,22335,Census division,45.5241,-71.4053,657,2015,1113.9
Oakbank,MB,,,49.9391,-96.8426,658,2009,1450
St-Pierre-Jolys,MB,1170,Census subdivision,49.4403,-96.9851,658,2008,1357.159959
Stratford,ON,31465,Census subdivision,43.37,-80.9822,658,2011,1346.6
Westman,MB,,,49.875,-100.33333,658,2010,1493.7
Beiseker,AB,819,Census subdivision,51.385,-113.5353,659,2015,1113.9
Didsbury,AB,5268,Census subdivision,51.6608,-114.1365,659,2008,1357.159959
Nottawasaga (New Tecumseth/Essa/Adjala Tosorontio),ON,66300,Census subdivision,44.133333,-79.93333,659,2010,1493.7
Stratford,ON,31465,Census subdivision,43.37,-80.9822,660,2008,1357.159959
Westman,MB,,,49.875,-100.33333,660,2009,1450
Abbotsford,BC,141397,Census subdivision,49.0504,-122.3045,661,2013,1200.9
Basques Region,QC,8694,Census division,48.1,-69.06667,661,2012,1310.8
Erable Region,QC,,,46.1908,-71.6338,661,2015,1113.9
Mirabel,QC,50513,Census subdivision,45.6519,-74.0902,661,2012,1310.8
Port Hope,ON,16753,Census subdivision,43.9492,-78.2934,661,2015,1113.9
Raymond/Magrath,AB,,,49.4635,-112.6622,661,2009,1450
Cumberland County,NS,30005,Census division,45.8006,-63.8594,662,2012,1310.8
Leeds County (Brockville),ON,21346,Census subdivision,44.5895,-75.6843,662,2012,1310.8
Portneuf Region,QC,53008,Census division,46.6985,-71.891,662,2014,1088.4
Appalaches Region,QC,42346,Census division,46.483333,-70.61667,663,2012,1310.8
Mekinac Region,QC,12358,Census division,46.816667,-72.51667,663,2008,1357.159959
Cobourg,ON,19440,Census subdivision,43.9593,-78.1677,664,2011,1346.6
Edmundston,NB,16580,Census subdivision,47.369,-68.3267,664,2015,1113.9
Iles-de-la-Madeleine,QC,12475,Census division,47.3877,-61.9012,664,2008,1357.159959
Inverness County,NS,17235,Census division,46.2762,-61.0542,664,2009,1450
Souris,PEI,1053,Census subdivision,46.355,-62.2518,664,2012,1310.8
Didsbury,AB,5268,Census subdivision,51.6608,-114.1365,665,2013,1200.9
Haut-Saint-François Region,QC,22335,Census division,45.5241,-71.4053,665,2008,1357.159959
Magog,QC,26669,Census subdivision,45.2665,-72.148,665,2012,1310.8
Russell County/Hawkesbury (The Nation),ON,,,45.4056,-74.9805,665,2011,1346.6
Ladysmith,BC,8537,Census subdivision,52.4631,-113.7286,666,2008,1357.159959
Northern Peninsula District,NL,,,50.4635,-56.76864,666,2013,1200.9
Richmond,BC,3232,Census subdivision,49.1666,-123.1336,667,2011,1346.6
Clair,NB,781,,47.2534,-68.6053,668,2015,1113.9
Colchester County,NS,50585,Census division,45.4255,-63.3275,668,2015,1113.9
Basques Region,QC,8694,Census division,48.1,-69.06667,669,2009,1450
Enfield (East Hants),NS,22453,Census subdivision,45.0389,-63.7126,669,2009,1450
Lanark County (Lanark Highlands),ON,5338,Census subdivision,45.0614,-76.4837,669,2010,1493.7
Ottawa,ON,934243,Census subdivision,45.4215,-75.6972,669,2008,1357.159959
Woodstock,ON,40902,Census subdivision,43.1315,-80.7472,669,2012,1310.8
Becancour Region,QC,20404,Census division,46.3506,-72.4351,671,2014,1088.4
Exeter (South Huron),ON,10096,Census subdivision,43.3473,-81.4806,671,2010,1493.7
Okotoks,AB,28881,Census subdivision,50.7255,-113.9749,671,2015,1113.9
Ottawa,ON,934243,Census subdivision,45.4215,-75.6972,671,2009,1450
Ste. Adele,QC,,,45.9521,-74.136,671,2011,1346.6
Haldimand County,ON,45608,Census subdivision,42.9277,-79.8762,672,2009,1450
Haut-Richelieu Region,QC,117443,Census division,45.2261,-73.1815,672,2008,1357.159959
Barrie,ON,141434,Census subdivision,44.3894,-79.6903,673,2015,1113.9
Guelph,ON,131794,Census subdivision,43.5448,-80.2482,673,2015,1113.9
Northumberland (Cramahe),ON,6355,Census subdivision,44.0928,-77.8825,673,2013,1200.9
Sherbrooke,QC,161323,,45.401,-71.8824,673,2010,1493.7
Stratford,ON,31465,Census subdivision,43.37,-80.9822,673,2012,1310.8
La Ronge,SK,2688,Census subdivision,47.1031,-70.35,674,2013,1200.9
Minto,NB,2305,Census subdivision,46.0762,-66.0749,675,2015,1113.9
Sources Region,QC,,,45.733333,-71.8,675,2008,1357.159959
Souris,PEI,1053,Census subdivision,46.355,-62.2518,675,2014,1088.4
Blainville,QC,56863,Census subdivision,45.6689,-73.8729,676,2014,1088.4
Coaticook Region,QC,18497,Census division,45.1337,-71.8039,676,2011,1346.6
Nicolet-Yamaska Region,QC,23159,Census division,46.1511,-72.6121,676,2010,1493.7
North Saanich,BC,11249,Census subdivision,48.6197,-123.4169,676,2010,1493.7
Edmundston,NB,16580,Census subdivision,47.369,-68.3267,677,2012,1310.8
Sturgeon Falls,ON,,,46.3666,-79.9313,678,2015,1113.9
Coaldale,AB,8215,Census subdivision,49.7275,-112.6179,679,2013,1200.9
Haute-Cote-Nord Region,QC,10846,Census division,48.566667,-69.23333,679,2013,1200.9
Port Hope,ON,16753,Census subdivision,43.9492,-78.2934,679,2014,1088.4
Collingwood (The Blue Mountains),ON,7025,Census subdivision,44.483333,-80.38333,680,2014,1088.4
Deer Lake District,NL,5249,Census subdivision,49.107,-57.513,680,2011,1346.6
Fjord-du-Saguenay Region,QC,161635,Census division,48.45,-70.9,680,2010,1493.7
Grey County (Meaford),ON,10991,Census subdivision,44.6059,-80.5937,680,2009,1450
Nelson,BC,10572,Census subdivision,49.4928,-117.2948,680,2008,1357.159959
Port Moody,BC,33551,Census subdivision,49.2849,-122.8678,680,2009,1450
Shawnigan Lake,BC,3945,Designated place,48.6512,-123.645,680,2011,1346.6
Coaldale,AB,8215,Census subdivision,49.7275,-112.6179,681,2008,1357.159959
Haldimand County,ON,45608,Census subdivision,42.9277,-79.8762,681,2011,1346.6
