Importer,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Exporter
Brazil,,,,,,,,,,,,12,,,,,,,93,66,145,13,,,,,,,2,4,4,4,4,8,14,14,12,12,12,12,12,11,,,,,,,,,1,,10,6,7,7,15,16,11,11,6,6,3,,,,,Canada
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,Canada
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,Canada
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,Canada
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,Canada
Cameroon,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,26,26,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,Canada
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,Canada
Chile,,,3,,,,,3,,,,3,,,,,10,10,,,,,,,,,,15,,,19,,,,,,,,35,,,,,,,20,,,,,,,,,,,,,,2,7,4,,,,,,Canada
China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada
Colombia,,4,4,,,,21,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,4,,,,,,,,,,5,,,3,6,12,2,3,,,4,11,,,Canada
Congo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,Canada
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,Canada
Cuba,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,Canada
Denmark,,3,,,,15,,,,,,,,,,,,,,,,,99,,,,,,1,,,,,,,,,,,,,,,,,,,,,18,,36,,,,,,,,,,,,,,,,Canada
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,Canada
Dominican Republic,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,4,,,,,,,Canada
DR Congo,,,,,,,,,,,,,,,,,3,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,13,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,8,2,1,1,6,,,Canada
Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,,6,2,7,6,3,,8,,,,,,,,,,,,,,,,,,,,,6,2,10,8,8,16,Canada
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Canada
Ethiopia,,,,,7,,,,,,,,,,,,,,,,,,5,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada
Finland,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,2,,,,,,Canada
France,,,,,81,,,,,16,15,15,15,,,,,,,,,,,1,2,2,3,3,6,10,2,6,4,3,,,,,,,8,18,15,16,15,20,8,8,,,,,,,,,,,,,,,,,,,,Canada
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada
Germany (FRG),,,,,,,,56,49,,,,,,,,,,,1,1,1,1,2,2,2,2,2,2,1,1,1,1,,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,28,,Canada
Ghana,,,,,,,,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,2,Canada
Greece,,,,,73,95,,,28,28,,,,,,,,,,,,,,,,,,,,6,,5,5,,8,,,,,,,,,,,,,,,,2,7,9,9,20,20,,,,,,,,,,,,Canada
Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada
India,,,,,,,4,6,6,,,,,18,56,,,2,15,,,,,,,,,,,,,,,,,5,5,10,5,,,,,,,,,,,,,,,,,,,,,,,,,18,15,92,,Canada
Indonesia,,,,,,,,,1,1,2,0,,,,,,,,,,,,,,,,,,,,8,8,,,,,,,,,,,,,,,,,,,,,4,,1,,1,2,,,1,11,6,6,6,2,Canada
Iran,,,,,,2,,,,,1,,,,,,,,,,,,,14,,94,112,35,6,6,,,,,21,,,,,1,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,Canada
Iraq,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,3,3,4,21,,6,12,12,23,5,2,,,,,,,,,,,,,,,0,0,1,0,2,7,,,,,,,Canada
Ireland,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,29,,29,,,5,,,,,,,,,,,,,Canada
Israel,,1,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,7,7,1,1,,,,,Canada
Italy,,,,,,,,,,,,,,,,,,,,,,,1,1,2,9,10,10,10,10,10,10,10,,,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,Canada
Jamaica,,,,,,,,,,,,,,,,,,3,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,Canada
Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,2,Canada
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,,4,Canada
Kenya,,,,,,,,,,,,,,,1,15,3,,,,,,8,,,,,40,40,,,,,,,,26,26,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada
Kuwait,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada
Laos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,,,,Canada
Lebanon,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,60,6,,1,Canada
Malaysia,,,,,,,,,,,,,,,,,15,19,19,50,11,,15,,,,,,,,,,1,13,12,,,,,,,,,,,,,,,,,5,,,,,,6,,,,,,,,,3,Canada
Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Canada
Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,Canada
Mexico,,,,,,,,,,,,17,,,,,,,,,,,,,,,6,,,1,50,11,5,5,,,16,13,4,4,3,2,1,,,,,,,,,,9,,,,1,,,4,4,12,4,,20,13,15,Canada
Morocco,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2,,,,,Canada
Myanmar,,0,0,,1,,,,,2,2,2,,,,,,,,,,,,,,,,,,7,2,,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada
Netherlands,,,,,,,3,,,,,41,,,,,,,,,,,,,,,,,5,5,10,10,10,10,,,,,,6,,,,,,12,38,2,,,,,,,,,,,,,,,,,,,,Canada
New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,15,,,,,,,,,,4,2,,Canada
Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,Canada
North Yemen,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada
Norway,,,,,,6,57,,,,,,,,,,,13,,,,,,49,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada
Oman,,,,,,,,,,,,,,,,,,,,,11,,,8,,,,,,13,,13,,13,,,,,,,,,,,,,,,,,6,1,,,,,,,4,,,,,4,4,4,4,Canada
Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,Canada
Panama,,,,,,,,,,,,,,,,,,,,,3,,,3,,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada
Paraguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada
Peru,2,,,,,,,,,,,,,,,1,8,,,,,116,116,8,,,,3,3,,,,,,,,5,27,,,,6,,,,,,,,,,,,,,,,,,,,3,5,10,15,9,9,Canada
Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,,,,,,,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,6,,Canada
Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6,6,,4,4,,,,6,4,2,2,2,Canada
Portugal,7,,,,25,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,12,12,,,,,,,,,,,,,,,2,10,8,4,,,,,,Canada
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6,5,Canada
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,,,,,,Canada
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,4,,,,68,68,57,57,59,28,25,23,20,6,5,5,17,,8,12,10,3,,33,40,34,45,109,6,Canada
Senegal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada
Singapore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,4,3,,,,,,6,8,4,,,,,,,,,,,,,11,,,,,,,,,Canada
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,,,,,,,,,,,,,,,,,Canada
South Africa,,,,,,,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,,,7,14,14,,,,,,,,,,,,,,,,,,,,,Canada
South Korea,3,,,,,,,,,,,,,,,,4,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,3,12,12,12,9,6,6,3,,,,,,,,,,Canada
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,19,,,Canada
South Yemen,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada
Spain,,,,,,,,,,,,,,,,,,4,23,19,,,,,24,24,,,,15,7,,,,,,2,2,14,8,10,,,,4,4,,,2,,2,2,4,4,4,4,,,,,,,,,,,,Canada
Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada
Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,Canada
Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada
Sweden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,20,40,,10,,,,,,,,,Canada
Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,1,,,,,Canada
Syria,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada
Taiwan (ROC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,33,30,,,,,,,,,,,,,,,,,,,,,,,,Canada
Tanzania,,,,,,,,,,,,,,,,2,20,,,,,12,,,,,,,,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada
Thailand,2,,,,,,,,,,,,,,,,,,11,,,,,,,,,,12,,,12,,,8,,,3,,,,6,6,2,5,,,,6,4,,,,,,,,,,6,,,,,,,2,Canada
Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada
Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Canada
Turkey,,,4,6,76,81,,19,79,,,,,,,,,,9,9,9,9,9,9,,,,,,,,,,,,,67,67,,,,,,,,,,,,,,,,,,,,,,,3,12,9,4,,,,Canada
UAE,,,,,,,,,,,,,,,,,,,8,8,,4,,,,,,,53,,,,22,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,2,13,11,5,13,12,7,Canada
Uganda,,,,,,,,,,,,,,,,,4,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,,Canada
United Kingdom,,,1,5,5,5,,,,,,,,,,,,,,,,,2,3,3,3,3,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,125,,,,,,,,,,Canada
United Nations**,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,Canada
United States,23,52,262,52,37,32,29,29,29,44,29,173,173,173,169,53,,,,,13,123,14,14,13,12,,,,1,,1,,8,27,34,58,59,29,3,,13,,7,57,106,,2,3,1,8,31,121,181,135,135,149,154,164,121,180,195,163,65,18,14,5,Canada
Unknown recipient(s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,7,14,Canada
Uruguay,,,0,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,2,15,,,,,,,,Canada
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,Canada
Venezuela,,,,18,,,,,,,,,,,,,,,,,,,58,,6,,,,,,4,4,11,,,,9,10,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,Canada
Viet Nam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,16,4,,Canada
Yugoslavia,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada
Zambia,,,,,,,,,,,,,,,,16,0,,,,,4,,,,,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,Canada
Albania,,,,,,,39,,,,,30,46,6,7,177,74,161,265,297,250,330,134,104,134,53,5,7,5,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,China
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,45,80,,,,5,,,,,11,12,15,,,,61,,,,18,,,,68,247,499,China
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,China
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,China
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,China
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,China
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,China
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,5,20,21,9,1,53,20,59,112,9,61,,,230,301,96,61,87,5,20,9,7,,,33,11,2,,,7,1,184,66,10,,12,102,172,506,198,436,252,China
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,China
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,China
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,3,,2,,,,,,,,5,,,,,,,,21,,,20,,4,China
Bosnia-Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,,,,,,,,,,,,,,,,,,,,,,,China
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,China
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,China
Cambodia,,,,,,,,,,,,,,,,,28,9,14,,,,,,,,,,38,,,,,,,5,,,2,,,,,,5,,,,,,,,,,,,,56,,4,,,15,39,,,,China
Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113,85,,,China
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,,16,,,39,,,,China
Congo,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,1,,,,,,,,China
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,5,China
DR Congo,,,,,,,,,,,,,,,,,,,,,,,,1,1,25,90,,28,,,6,6,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,China
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,0,,,,8,,,,,,,China
Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,88,,,,200,270,,405,304,578,209,163,28,28,28,28,28,28,36,28,28,,,,,,18,67,88,88,21,,35,35,35,35,,1,1,1,,,China
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,,,China
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,China
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,2,50,2,,,China
FNLA (Angola)*,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,China
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,1,,,,,,,,,,,China
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,China
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,,14,,11,2,56,,22,,13,,China
Guinea,,,,,,,,,,,,,,,,,,,,,,,,18,18,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,China
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,China
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,China
Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3,3,,2,8,69,78,39,43,42,China
Iran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,193,219,180,126,516,539,184,60,87,96,103,304,274,58,320,54,70,64,69,80,81,84,80,43,54,47,47,47,62,52,31,9,9,9,,China
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389,587,788,698,755,826,192,23,,,,,,,,,,,,,,,20,,,,,,,,,,,17,,China
Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,1,,8,China
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,China
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,15,,,,,,,10,,,13,,,,7,10,10,China
Khmer Rouge (Cambodia)*,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,,,,,,,,,,,,,2,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,China
Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,15,20,21,,,,,,,,,,,,,,China
Laos,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,7,,,,15,15,,1,,China
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,China
Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,China
Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,China
Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,8,,,,,17,7,,,,,,,,,,,,,34,China
Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,China
Morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221,34,34,,,,,China
Mujahedin (Afghanistan)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,10,10,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,China
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,217,182,14,323,93,176,118,197,156,116,3,50,9,57,74,23,10,2,10,17,5,277,254,190,65,185,190,China
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,14,,,,,66,,66,5,,,52,9,,,,China
Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,China
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,China
Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,China
Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156,,,,57,22,36,China
North Korea,,,,,,,,,463,361,285,5,5,5,10,15,16,106,116,75,76,101,77,197,225,287,237,50,134,74,243,57,307,79,77,29,224,224,273,160,103,145,11,55,5,50,,,,,,,,,,,,,,,,,,,,,,China
Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,15,,,,,,,,,,,,,,China
Pakistan,,,,,,,,,,,,,,,2,165,448,117,168,158,183,346,489,121,11,102,162,25,297,217,245,207,77,418,289,120,68,422,123,324,325,283,210,697,346,234,115,93,92,73,69,299,286,267,77,78,98,144,250,758,747,578,656,801,439,542,640,China
Peru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,,,,,,,,,,,,,,,,,1,1,,,,,13,,China
Romania,,,,,,,,,,,,,,,,,,,,,,29,18,54,109,63,63,63,42,56,42,42,42,36,,,,,24,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,China
Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,,,,,,,,China
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225,225,,,,,,,,,,,,,,,,,,,,33,33,,,,,,14,,China
Senegal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,China
Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,10,,,China
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,18,,,,,,,,,,9,,,,,,,,,9,,,,,2,,,,,,China
