,0
425,"['Genre: Foreign' 'Our Last Tango' 'Release Date: April 15, 2016'
 '\xa0$100,086']"
426,"['Genre: Drama' 'Holy Smoke' 'Release Date: December 3, 1999' 'Writer:']"
428,"['Genre: Foreign' 'Asterix et Obelix Contre Cesar'
 'Release Date: June 4, 1999' '\xa0$1,644,060']"
429,"['Genre: Comedy / Drama' 'Tumbleweeds' 'Release Date: November 26, 1999'
 'Writer:']"
432,"['Genre: Drama' 'Hideous Kinky' 'Release Date: April 16, 1999'
 'Cinematographer:']"
434,"['Genre: Horror' 'The Ninth Gate' 'Release Date: March 10, 2000'
 '\xa0$58,401,898']"
435,"['Genre: IMAX' 'Michael Jordan to the Max (IMAX)'
 'Release Date: May 5, 2000' '\xa0$21,268,532']"
436,"['Genre: Unknown' 'Series 7:The Contenders' 'Release Date: March 2, 2001'
 '\xa0$195,065']"
437,"['Genre: Sci-Fi Adventure' 'Red Planet' 'Release Date: November 10, 2000'
 '\xa0$33,463,969']"
438,"['Genre: Crime Comedy' 'Small Time Crooks' 'Release Date: May 19, 2000'
 '\xa0$29,934,477']"
439,"['Genre: Music Drama' 'Center Stage' 'Release Date: May 12, 2000'
 '\xa0$26,385,941']"
440,"['Genre: Drama' 'Boiler Room' 'Release Date: February 18, 2000'
 '\xa0$28,780,255']"
441,"['Genre: Horror' 'Lost Souls' 'Release Date: October 13, 2000'
 '\xa0$31,355,910']"
442,"['Genre: Thriller' 'Eye of the Beholder' 'Release Date: January 28, 2000'
 '\xa0$17,589,705']"
443,"['Genre: Family' 'Thomas and the Magic Railroad'
 'Release Date: July 26, 2000' '\xa0$19,748,009']"
444,"['Genre: IMAX' 'Cirque du Soleil:Journey of Man (IMAX)'
 'Release Date: May 5, 2000' '\xa0$27,538,359']"
445,"['Genre: Comedy' 'Goodbye Mr. Loser' 'Release Date: October 9, 2015'
 '\xa0$228,122,928']"
446,"['Genre: Western' 'All the Pretty Horses' 'Release Date: December 25, 2000'
 '\xa0$18,133,495']"
447,"['Genre: Comedy' 'Drowning Mona' 'Release Date: March 3, 2000'
 '\xa0$15,906,764']"
448,"['Genre: Action Comedy' 'Bait' 'Release Date: September 15, 2000'
 '\xa0$15,471,969']"
450,"['Genre: Thriller' 'American Psycho' 'Release Date: April 14, 2000'
 '\xa0$34,266,564']"
451,"['Genre: Drama' 'The Next Best Thing' 'Release Date: March 3, 2000'
 '\xa0$24,362,772']"
452,"['Genre: Action' 'Get Carter' 'Release Date: October 6, 2000'
 '\xa0$19,412,993']"
453,"['Genre: Sci-Fi Thriller' 'Supernova' 'Release Date: January 14, 2000'
 '\xa0$14,828,081']"
454,"['Genre: Documentary' 'Steve McQueen:The Man & Le Mans'
 'Release Date: November 13, 2015' '\xa0$6,843']"
455,"['Genre: Family Adventure' 'The Little Vampire'
 'Release Date: October 27, 2000' '\xa0$27,965,865']"
456,"['Genre: IMAX' 'Solarmax' 'Release Date: September 15, 2000'
 '\xa0$13,400,161']"
457,"['Genre: Romantic Comedy' 'Dr. T and the Women'
 'Release Date: October 13, 2000' '\xa0$22,844,291']"
459,"['Genre: Action Fantasy' 'Highlander:Endgame'
 'Release Date: September 1, 2000' '\xa0$15,843,608']"
460,"['Genre: Sports Comedy' 'Ready to Rumble' 'Release Date: April 7, 2000'
 '\xa0$12,452,362']"
461,"['Genre: Crime Comedy' 'Saving Grace' 'Release Date: August 4, 2000'
 '\xa0$26,330,482']"
463,"['Genre: Action' 'The Legend of Drunken Master'
 'Release Date: October 20, 2000' 'Composer:']"
464,"['Genre: IMAX' 'Cyberworld 3-D (IMAX)' 'Release Date: October 6, 2000'
 '\xa0$16,653,900']"
465,"['Genre: Romance' 'Here on Earth' 'Release Date: March 24, 2000'
 '\xa0$10,873,148']"
466,"['Genre: Crime Comedy' 'Lucky Numbers' 'Release Date: October 27, 2000'
 '\xa0$10,890,222']"
467,"['Genre: Sci-Fi Horror' 'Godzilla 2000' 'Release Date: August 18, 2000'
 '\xa0$12,924,063']"
469,"['Genre: Animation' 'Digimon:The Movie' 'Release Date: October 6, 2000'
 '\xa0$16,643,191']"
470,"['Genre: Drama' 'You Can Count on Me' 'Release Date: November 10, 2000'
 '\xa0$11,009,079']"
471,"['Genre: Romantic Comedy' 'Whatever It Takes'
 'Release Date: March 24, 2000' '\xa0$9,902,115']"
473,"['Genre: IMAX' 'Fantasia 2000 (35mm & IMAX)'
 'Release Date: January 1, 2000' '\xa0$90,874,570']"
474,"['Genre: Horror Comedy' 'Shadow of the Vampire'
 'Release Date: December 29, 2000' '\xa0$11,155,214']"
475,"['Genre: Period Drama' 'Quills' 'Release Date: November 24, 2000'
 '\xa0$17,989,227']"
476,"['Genre: Comedy' 'Screwed' 'Release Date: May 12, 2000' '\xa0$7,201,701']"
477,"['Genre: Comedy' 'State and Main' 'Release Date: December 22, 2000'
 '\xa0$9,206,279']"
478,"['Genre: Adventure' 'I Dreamed of Africa' 'Release Date: May 5, 2000'
 '\xa0$14,400,327']"
479,"['Genre: Sci-Fi Comedy' 'What Planet Are You From?'
 'Release Date: March 3, 2000' '\xa0$14,145,677']"
480,"['Genre: Crime Drama' 'Croupier' 'Release Date: April 21, 2000'
 '\xa0$7,075,068']"
481,"['Genre: Action / Crime' 'The Way of the Gun'
 'Release Date: September 8, 2000' '\xa0$13,069,740']"
482,"['Genre: Crime Comedy' 'Where the Money Is' 'Release Date: April 14, 2000'
 '\xa0$7,243,669']"
483,"['Genre: Thriller' 'The In Crowd' 'Release Date: July 21, 2000' 'Producer:']"
484,"['Genre: Drama' 'Black or White' 'Release Date: January 30, 2015'
 '\xa0$21,571,189']"
485,"['Genre: Thriller' 'Gossip' 'Release Date: April 21, 2000'
 '\xa0$12,591,270']"
486,"['Genre: Romantic Comedy' 'Woman on Top' 'Release Date: September 22, 2000'
 '\xa0$10,194,274']"
487,"['Genre: Drama' 'The Virgin Suicides' 'Release Date: April 21, 2000'
 '\xa0$10,409,377']"
488,"['Genre: Comedy' 'Duets' 'Release Date: September 15, 2000'
 '\xa0$6,620,242']"
489,"['Genre: Comedy' 'Held Up' 'Release Date: May 12, 2000' 'Producer:']"
490,"['Genre: Comedy' 'The Tao of Steve' 'Release Date: August 4, 2000'
 '\xa0$4,406,030']"
491,"['Genre: Drama' 'Before Night Falls' 'Release Date: December 22, 2000'
 '\xa0$8,527,517']"
492,"['Genre: Musical' 'Dancer in the Dark' 'Release Date: September 22, 2000'
 '\xa0$40,031,879']"
494,"['Genre: Comedy' 'Whipped' 'Release Date: September 1, 2000'
 '\xa0$4,775,009']"
495,"['Genre: Drama' 'Requiem for a Dream' 'Release Date: October 6, 2000'
 '\xa0$7,390,108']"
496,"['Genre: Foreign' 'Malena' 'Release Date: December 22, 2000'
 '\xa0$14,493,284']"
497,"['Genre: Sports Drama' 'Price of Glory' 'Release Date: March 31, 2000'
 '\xa0$3,548,556']"
498,"['Genre: Crime Drama' 'Ghost Dog:Way of the Samurai'
 'Release Date: March 3, 2000' '\xa0$9,380,473']"
499,"['Genre: Drama' 'The Big Kahuna' 'Release Date: April 28, 2000'
 '\xa0$3,728,888']"
501,"['Genre: Period Drama' 'The House of Mirth'
 'Release Date: December 22, 2000' '\xa0$5,164,404']"
502,"['Genre: Comedy / Drama' ""Isn't She Great"" 'Release Date: January 28, 2000'
 '\xa0$3,003,296']"
503,"['Genre: Period Drama' 'Up at the Villa' 'Release Date: May 5, 2000'
 '\xa0$3,740,113']"
505,"['Genre: Foreign' 'East-West' 'Release Date: April 7, 2000'
 '\xa0$6,031,521']"
506,"['Genre: Comedy' 'Bamboozled' 'Release Date: October 6, 2000'
 '\xa0$2,463,650']"
507,"['Genre: Comedy' ""But I'm a Cheerleader"" 'Release Date: July 7, 2000'
 '\xa0$2,595,216']"
509,"['Genre: Romance' 'Bossa Nova' 'Release Date: April 28, 2000'
 '\xa0$4,069,261']"
510,"['Genre: Foreign' 'The Color of Paradise' 'Release Date: March 31, 2000'
 '\xa0$2,724,595']"
511,"['Genre: Romantic Comedy' 'The Broken Hearts Club'
 'Release Date: September 29, 2000' '\xa0$2,019,121']"
513,"['Genre: Foreign' 'The Girl on the Bridge' 'Release Date: July 28, 2000'
 '\xa0$1,708,839']"
514,"['Genre: Crime Thriller' 'Blood Simple' 'Release Date: January 18, 1985'
 'Producer:']"
515,"['Genre: Crime Comedy' 'Gun Shy' 'Release Date: February 4, 2000'
 '\xa0$3,221,280']"
516,"['Genre: Comedy' 'Hamlet 2' 'Release Date: August 22, 2008'
 '\xa0$4,925,288']"
517,"['Genre: Thriller' 'Rear Window' 'Release Date: August 1, 1954'
 'Cinematographer:']"
518,"['Genre: Sports Drama' 'Girlfight' 'Release Date: September 29, 2000'
 '\xa0$1,666,028']"
520,"['Genre: Drama' ""Jesus' Son"" 'Release Date: June 16, 2000' 'Actors:']"
521,"['Genre: Comedy' 'Cecil B. Demented' 'Release Date: August 11, 2000'
 '\xa0$1,961,544']"
525,"['Genre: Foreign' 'Backstage (2006)' 'Release Date: November 22, 2006'
 '\xa0$40,507']"
526,"['Genre: Thriller' 'Trois' 'Release Date: February 11, 2000' 'Writers:']"
527,"['Genre: Documentary' ""78/52:Hitchcock's Shower Scene""
 'Release Date: October 13, 2017' '* Denotes minor role']"
528,"['Genre: Foreign' 'But Always (Yi Sheng Yi Shi)'
 'Release Date: September 5, 2014' '\xa0$430,760']"
529,"['Genre: Animation' ""The Emperor's New Groove""
 'Release Date: December 15, 2000' '\xa0$169,327,687']"
530,"['Genre: Drama' 'Knight of Cups' 'Release Date: March 4, 2016'
 '\xa0$566,006']"
531,"['Genre: Foreign' 'Mohabbatein' 'Release Date: October 27, 2000'
 '\xa0$4,279,351']"
532,"['Genre: Drama' 'Left Luggage' 'Release Date: September 22, 2000'
 '\xa0$2,111,280']"
533,"['Genre: Drama' 'Time Code' 'Release Date: April 28, 2000' '\xa0$1,431,406']"
534,"['Genre: Sports Comedy' 'Summer Catch' 'Release Date: August 24, 2001'
 '\xa0$19,772,447']"
535,"['Genre: Drama / Thriller' 'The Pledge' 'Release Date: January 19, 2001'
 '\xa0$29,419,291']"
536,"['Genre: Comedy' 'Saving Silverman' 'Release Date: February 9, 2001'
 '\xa0$26,086,706']"
537,"['Genre: Action Drama' 'The Last Castle' 'Release Date: October 19, 2001'
 '\xa0$27,642,707']"
538,"['Genre: Thriller' 'The Glass House' 'Release Date: September 14, 2001'
 '\xa0$23,619,609']"
539,"['Genre: Family Comedy' ""Max Keeble's Big Move""
 'Release Date: October 5, 2001' '\xa0$18,634,654']"
540,"['Genre: Animation' 'Pokemon the Movie:I Choose You!'
 'Release Date: November 5, 2017' '\xa0$2,401,722']"
541,"['Genre: Music Drama' 'Rock Star' 'Release Date: September 7, 2001'
 '\xa0$19,334,145']"
542,"['Genre: Romance' 'crazy/beautiful' 'Release Date: June 29, 2001'
 '\xa0$19,937,988']"
543,"['Genre: Romantic Thriller' 'Original Sin' 'Release Date: August 3, 2001'
 '\xa0$35,402,320']"
546,"['Genre: Drama' 'Life as a House' 'Release Date: October 26, 2001'
 '\xa0$23,903,791']"
548,"['Genre: Action' 'Iron Monkey' 'Release Date: October 12, 2001' 'Producer:']"
549,"['Genre: Comedy' 'Josie and the Pussycats' 'Release Date: April 11, 2001'
 '\xa0$14,866,015']"
550,"['Genre: Comedy' 'Freddy Got Fingered' 'Release Date: April 20, 2001'
 '\xa0$14,333,252']"
551,"['Genre: Comedy' 'Out Cold' 'Release Date: November 21, 2001'
 '\xa0$14,782,676']"
552,"['Genre: Comedy Thriller' 'The Tailor of Panama'
 'Release Date: March 30, 2001' '\xa0$28,008,462']"
553,"['Genre: IMAX' 'Haunted Castle (IMAX)' 'Release Date: February 23, 2001'
 '\xa0$39,093,166']"
554,"['Genre: Family Comedy' 'Osmosis Jones' 'Release Date: August 10, 2001'
 '\xa0$14,026,418']"
555,"['Genre: Comedy' 'Tomcats' 'Release Date: March 30, 2001' '\xa0$23,430,766']"
556,"['Genre: Western' 'American Outlaws' 'Release Date: August 17, 2001'
 '\xa0$13,678,913']"
557,"['Genre: Crime Comedy' 'Sugar & Spice' 'Release Date: January 26, 2001'
 '\xa0$16,908,947']"
559,"['Genre: Drama' 'The Shipping News' 'Release Date: December 25, 2001'
 '\xa0$24,690,441']"
560,"['Genre: Thriller' 'Antitrust' 'Release Date: January 12, 2001'
 '\xa0$18,195,610']"
561,"['Genre: Romantic Comedy' 'Head Over Heels'
 'Release Date: February 2, 2001' '\xa0$13,127,022']"
563,"['Genre: Drama / Thriller' 'The Deep End' 'Release Date: August 10, 2001'
 '\xa0$10,031,529']"
564,"['Genre: Sci-Fi Horror' ""John Carpenter's Ghosts of Mars""
 'Release Date: August 24, 2001' '\xa0$14,010,832']"
565,"['Genre: Comedy Thriller' 'The Curse of the Jade Scorpion'
 'Release Date: August 24, 2001' '\xa0$18,914,307']"
566,"['Genre: Crime' ""The Man Who Wasn't There"" 'Release Date: November 2, 2001'
 '\xa0$18,916,623']"
569,"['Genre: Drama / Thriller' 'Mulholland Drive'
 'Release Date: October 8, 2001' '\xa0$20,117,339']"
570,"['Genre: Crime' 'Sexy Beast' 'Release Date: June 15, 2001'
 '\xa0$10,045,677']"
571,"['Genre: Romantic Comedy' 'Town & Country' 'Release Date: April 27, 2001'
 '\xa0$10,372,291']"
572,"['Genre: Drama' 'Closet Monster' 'Release Date: September 23, 2016'
 '\xa0$42,166']"
573,"['Genre: Crime Comedy' ""One Night at McCool's""
 'Release Date: April 27, 2001' '\xa0$13,473,370']"
574,"['Genre: Comedy' 'Ghost World' 'Release Date: July 20, 2001'
 '\xa0$8,764,007']"
576,"['Genre: Documentary' 'Iris (2015)' 'Release Date: April 29, 2015'
 '\xa0$1,310,678']"
577,"['Genre: Romantic Comedy' ""Say It Isn't So"" 'Release Date: March 23, 2001'
 '\xa0$12,320,393']"
578,"['Genre: Fantasy Comedy' 'Monkeybone' 'Release Date: February 23, 2001'
 '\xa0$7,622,365']"
579,"['Genre: Foreign' 'Amores Perros' 'Release Date: March 30, 2001'
 '\xa0$20,908,467']"
580,"['Genre: Foreign' 'Bread and Tulips' 'Release Date: July 27, 2001'
 '\xa0$8,478,434']"
582,"['Genre: Comedy' 'Bubble Boy' 'Release Date: August 24, 2001' 'Actors:']"
583,"['Genre: Fantasy Comedy' 'Just Visiting' 'Release Date: April 6, 2001'
 '\xa0$16,176,732']"
584,"['Genre: Period Drama' 'The Other Side of Heaven'
 'Release Date: December 14, 2001' '\xa0$4,720,371']"
586,"['Genre: Drama / Thriller' 'Lantana' 'Release Date: December 14, 2001'
 '\xa0$15,747,450']"
587,"['Genre: Comedy / Drama' 'Tortilla Soup' 'Release Date: August 24, 2001'
 '\xa0$4,574,762']"
589,"['Genre: Music Drama' 'Glitter' 'Release Date: September 21, 2001'
 '\xa0$5,271,666']"
590,"['Genre: Thriller' 'Left Behind (2014)' 'Release Date: October 3, 2014'
 '\xa0$19,682,924']"
591,"['Genre: Comedy / Drama' 'The Anniversary Party'
 'Release Date: June 8, 2001' '\xa0$4,931,888']"
592,"['Genre: IMAX' 'China:The Panda Adventure (IMAX)'
 'Release Date: June 9, 2001' '\xa0$6,784,985']"
593,"['Genre: Foreign' 'With a Friend Like Harry' 'Release Date: April 20, 2001'
 '\xa0$15,472,186']"
595,"['Genre: Comedy' 'Pootie Tang' 'Release Date: June 29, 2001'
 '* Denotes minor role']"
596,"['Genre: Horror' 'Soul Survivors' 'Release Date: September 7, 2001'
 '\xa0$4,299,141']"
597,"['Genre: Foreign' 'The Widow of St. Pierre' 'Release Date: March 2, 2001'
 '\xa0$7,074,234']"
598,"['Genre: Musical' 'Hedwig and the Angry Inch' 'Release Date: July 20, 2001'
 '\xa0$3,644,200']"
599,"['Genre: Music Drama' 'Songcatcher' 'Release Date: June 15, 2001'
 '\xa0$3,171,273']"
600,"['Genre: Period Drama' 'The Golden Bowl' 'Release Date: April 27, 2001'
 '\xa0$5,753,678']"
601,"['Genre: Foreign' 'Kabhi Khushi Kabhie Gham'
 'Release Date: December 14, 2001' '\xa0$11,329,690']"
602,"['Genre: Animation' 'Waking Life' 'Release Date: October 19, 2001'
 '\xa0$3,176,880']"
603,"['Genre: Foreign' 'In the Mood for Love' 'Release Date: February 2, 2001'
 '\xa0$12,854,953']"
604,"['Genre: Action / Adventure' 'Dishoom' 'Release Date: July 29, 2016'
 '\xa0$812,737']"
605,"['Genre: Drama' 'The Himalayas' 'Release Date: December 18, 2015'
 '\xa0$50,539,997']"
607,"['Genre: Romantic Comedy' 'Sidewalks of New York'
 'Release Date: November 23, 2001' '\xa0$3,512,713']"
611,"['Genre: Comedy Thriller' 'Novocaine' 'Release Date: November 16, 2001'
 '\xa0$2,534,372']"
616,"['Genre: Foreign' 'Under the Sand' 'Release Date: May 4, 2001'
 '\xa0$6,531,687']"
617,"['Genre: Comedy' 'Greenfingers' 'Release Date: July 27, 2001'
 '\xa0$1,961,054']"
618,"['Genre: Drama' 'Kandahar' 'Release Date: December 14, 2001'
 '\xa0$8,258,006']"
619,"['Genre: Foreign' 'Divided We Fall' 'Release Date: June 8, 2001'
 '\xa0$1,830,938']"
620,"['Genre: Documentary' 'Startup.com' 'Release Date: May 11, 2001'
 '\xa0$1,830,008']"
623,"['Genre: Drama' 'L.I.E.' 'Release Date: September 7, 2001' '\xa0$1,667,192']"
625,"['Genre: Drama' 'The Center of the World' 'Release Date: April 20, 2001'
 '\xa0$1,460,687']"
626,"['Genre: Romance' 'The Luzhin Defence' 'Release Date: April 20, 2001'
 '\xa0$1,864,747']"
628,"['Genre: Foreign' 'All Together' 'Release Date: October 19, 2012'
 '\xa0$7,211,180']"
629,"['Genre: Drama' 'The Business of Strangers'
 'Release Date: December 7, 2001' '\xa0$1,287,598']"
631,"['Genre: Romantic Comedy' 'All Over the Guy'
 'Release Date: August 10, 2001' '\xa0$1,051,948']"
632,"['Genre: Period Drama' 'Liam' 'Release Date: September 21, 2001'
 '\xa0$1,945,689']"
633,"['Genre: Foreign' ""No Man's Land"" 'Release Date: December 7, 2001'
 '\xa0$4,858,869']"
634,"['Genre: Animation' 'Eight Crazy Nights' 'Release Date: November 27, 2002'
 '\xa0$23,833,131']"
635,"['Genre: Comedy' 'Adaptation.' 'Release Date: December 6, 2002'
 '\xa0$32,801,173']"
636,"['Genre: Crime Drama' 'City by the Sea' 'Release Date: September 6, 2002'
 '\xa0$29,413,966']"
637,"['Genre: Documentary' 'Bowling for Columbine'
 'Release Date: October 11, 2002' '\xa0$58,008,423']"
638,"['Genre: Comedy' ""National Lampoon's Van Wilder:The Rise of Taj""
 'Release Date: December 1, 2006' '\xa0$6,086,508']"
639,"['Genre: Drama' 'Antwone Fisher' 'Release Date: December 19, 2002'
 '\xa0$23,367,586']"
640,"['Genre: Concert' 'Martin Lawrence Live:Runteldat'
 'Release Date: August 2, 2002' 'Cinematographer:']"
641,"['Genre: Fantasy Drama' 'Tuck Everlasting' 'Release Date: October 11, 2002'
 '\xa0$19,344,615']"
642,"['Genre: War Drama' ""Hart's War"" 'Release Date: February 15, 2002'
 '\xa0$32,287,044']"
643,"['Genre: Sports Action' 'Rollerball' 'Release Date: February 8, 2002'
 '\xa0$25,852,764']"
645,"['Genre: War Drama' 'The Four Feathers' 'Release Date: September 20, 2002'
 '\xa0$29,882,645']"
646,"['Genre: Romantic Comedy' 'Punch-Drunk Love'
 'Release Date: October 11, 2002' '\xa0$24,665,649']"
648,"['Genre: Horror Comedy' 'Eight Legged Freaks' 'Release Date: July 17, 2002'
 '\xa0$45,867,333']"
649,"['Genre: Family Comedy' 'The Country Bears' 'Release Date: July 26, 2002'
 '\xa0$18,012,097']"
650,"['Genre: Romantic Comedy' 'Serving Sara' 'Release Date: August 23, 2002'
 '\xa0$20,146,150']"
651,"['Genre: Drama' 'White Oleander' 'Release Date: October 11, 2002'
 '\xa0$21,672,284']"
652,"['Genre: Action Comedy' 'Kung Pow! Enter the Fist'
 'Release Date: January 25, 2002' '\xa0$16,994,625']"
653,"['Genre: Comedy Thriller' 'Confessions of a Dangerous Mind'
 'Release Date: December 31, 2002' '\xa0$33,013,805']"
654,"['Genre: Period Drama' 'Far From Heaven' 'Release Date: November 8, 2002'
 '\xa0$29,027,914']"
656,"['Genre: Action' 'Half Past Dead' 'Release Date: November 15, 2002'
 '\xa0$19,233,280']"
659,"['Genre: Action' 'Ballistic:Ecks vs. Sever'
 'Release Date: September 20, 2002' '\xa0$19,924,033']"
660,"['Genre: Drama' ""The Emperor's Club"" 'Release Date: November 22, 2002'
 '\xa0$16,318,449']"
661,"['Genre: Comedy' 'Stealing Harvard' 'Release Date: September 13, 2002'
 '\xa0$14,277,032']"
662,"['Genre: Drama' 'Very Good Girls' 'Release Date: July 25, 2014'
 '\xa0$6,940']"
663,"['Genre: Foreign' 'Monsoon Wedding' 'Release Date: February 22, 2002'
 '\xa0$30,787,356']"
664,"['Genre: Foreign' 'Y Tu Mama Tambien' 'Release Date: March 15, 2002'
 '\xa0$33,616,692']"
665,"['Genre: Animation' 'Hey Arnold! The Movie' 'Release Date: June 28, 2002'
 '\xa0$15,249,308']"
666,"['Genre: Sports Comedy' 'Juwanna Mann' 'Release Date: June 21, 2002'
 '\xa0$13,802,599']"
667,"['Genre: Horror' 'fear dot com' 'Release Date: August 30, 2002'
 '\xa0$18,902,015']"
668,"['Genre: Sci-Fi Horror' 'Jason X' 'Release Date: April 26, 2002'
 '\xa0$16,951,798']"
669,"['Genre: Horror Thriller' 'Frailty' 'Release Date: April 12, 2002'
 '\xa0$17,423,030']"
670,"['Genre: Crime Drama' '25th Hour' 'Release Date: December 19, 2002'
 '\xa0$23,928,503']"
671,"['Genre: Drama / Thriller' 'The Quiet American'
 'Release Date: November 22, 2002' '\xa0$27,674,124']"
672,"['Genre: Horror' 'Wes Craven Presents:They'
 'Release Date: November 27, 2002' '\xa0$16,130,385']"
673,"['Genre: Sports Drama' 'Undisputed' 'Release Date: August 23, 2002'
 '\xa0$15,220,548']"
674,"['Genre: Crime Comedy' 'Knockaround Guys' 'Release Date: October 11, 2002'
 '\xa0$14,069,721']"
675,"['Genre: Animation' 'The Powerpuff Girls Movie'
 'Release Date: July 3, 2002' '\xa0$16,426,471']"
676,"['Genre: Foreign / Action' 'Brotherhood of the Wolf'
 'Release Date: January 11, 2002' '\xa0$70,752,904']"
677,"['Genre: IMAX' 'Adrenaline Rush:The Science of Risk (IMAX)'
 'Release Date: October 18, 2002' '\xa0$10,994,028']"
678,"['Genre: Horror' 'The Abandoned' 'Release Date: February 23, 2007'
 '\xa0$4,153,578']"
680,"['Genre: Comedy' 'Sorority Boys' 'Release Date: March 22, 2002'
 '\xa0$12,517,488']"
681,"['Genre: Drama / Thriller' 'Possession (2009)' 'Release Date: TBD'
 '\xa0$682,173']"
683,"['Genre: Animation' 'Spirited Away' 'Release Date: September 20, 2002'
 '\xa0$276,121,886']"
684,"['Genre: Sci-Fi Comedy' 'Simone' 'Release Date: August 23, 2002'
 '\xa0$19,576,023']"
685,"['Genre: Foreign' 'Talk to Her' 'Release Date: November 22, 2002'
 '\xa0$51,001,550']"
687,"['Genre: Period Comedy' 'The Importance of Being Earnest'
 'Release Date: May 17, 2002' '\xa0$17,290,970']"
688,"['Genre: Comedy Thriller' 'Death to Smoochy' 'Release Date: March 29, 2002'
 '\xa0$8,382,938']"
689,"['Genre: Comedy' 'Big Trouble' 'Release Date: April 5, 2002'
 '\xa0$8,493,890']"
691,"['Genre: Romantic Comedy' 'Kissing Jessica Stein'
 'Release Date: March 13, 2002' '\xa0$10,013,424']"
692,"['Genre: Drama' 'Moonlight Mile' 'Release Date: September 27, 2002'
 '\xa0$10,011,050']"
695,"['Genre: Crime Thriller' 'Femme Fatale' 'Release Date: November 6, 2002'
 '\xa0$16,838,910']"
696,"['Genre: Comedy' 'The Rules of Attraction' 'Release Date: October 11, 2002'
 '\xa0$11,819,244']"
697,"['Genre: Sci-Fi Thriller' 'Impostor' 'Release Date: January 4, 2002'
 '\xa0$8,145,549']"
698,"['Genre: Period Drama' 'Rabbit-Proof Fence'
 'Release Date: November 27, 2002' '\xa0$16,217,411']"
699,"['Genre: Crime Drama' 'Deuces Wild' 'Release Date: May 3, 2002'
 '\xa0$6,282,446']"
700,"['Genre: Comedy / Drama' 'Real Women Have Curves'
 'Release Date: October 18, 2002' '\xa0$7,777,790']"
701,"['Genre: Foreign' 'El Crimen del Padre Amaro'
 'Release Date: November 15, 2002' '\xa0$26,996,738']"
702,"['Genre: Romantic Thriller' 'The Truth About Charlie'
 'Release Date: October 25, 2002' '\xa0$7,093,284']"
703,"['Genre: Comedy' 'Slackers' 'Release Date: February 1, 2002'
 '\xa0$6,413,915']"
704,"['Genre: Action Comedy' 'Formula 51' 'Release Date: October 18, 2002'
 '\xa0$14,439,698']"
705,"['Genre: Crime' 'Birthday Girl' 'Release Date: February 1, 2002'
 '\xa0$16,171,098']"
706,"['Genre: Comedy' 'Hollywood Ending' 'Release Date: May 3, 2002'
 '\xa0$14,569,744']"
707,"['Genre: Sports Action' 'Extreme Ops' 'Release Date: November 27, 2002'
 '\xa0$10,959,475']"
708,"['Genre: Comedy' 'Igby Goes Down' 'Release Date: September 13, 2002'
 '\xa0$6,919,198']"
709,"['Genre: Foreign' 'Italian for Beginners' 'Release Date: January 18, 2002'
 '\xa0$16,349,568']"
710,"['Genre: Sci-Fi Comedy' 'The Adventures of Pluto Nash'
 'Release Date: August 16, 2002' '\xa0$7,103,973']"
713,"['Genre: Comedy / Drama' 'Lovely and Amazing' 'Release Date: June 28, 2002'
 '\xa0$4,677,852']"
714,"['Genre: IMAX' ""ESPN's Ultimate X (IMAX)"" 'Release Date: May 10, 2002'
 '\xa0$4,786,084']"
715,"['Genre: Foreign' 'Mostly Martha' 'Release Date: August 16, 2002'
 '\xa0$9,852,022']"
717,"['Genre: Foreign' 'The Fast Runner (Atanarjuat)'
 'Release Date: April 12, 2002' '\xa0$5,188,289']"
718,"['Genre: Family Adventure' 'Pinocchio' 'Release Date: December 25, 2002'
 '\xa0$41,323,171']"
719,"['Genre: Drama' '13 Conversations About One Thing'
 'Release Date: May 24, 2002' '\xa0$3,706,652']"
720,"['Genre: Period Drama' ""The Cat's Meow"" 'Release Date: April 12, 2002'
 '\xa0$3,646,994']"
721,"['Genre: Foreign' 'Asterix et Obelix:Mission Cleopatra'
 'Release Date: June 7, 2002' '\xa0$111,127,553']"
722,"['Genre: Foreign' '8 Women' 'Release Date: September 6, 2002'
 '\xa0$42,426,583']"
723,"['Genre: Crime Drama' 'Paid in Full' 'Release Date: October 25, 2002'
 '\xa0$3,090,862']"
724,"['Genre: Drama' 'Sunshine State' 'Release Date: June 21, 2002'
 '\xa0$3,369,654']"
725,"['Genre: Romantic Comedy' 'Tadpole' 'Release Date: July 19, 2002'
 '\xa0$3,200,241']"
726,"['Genre: Comedy' 'The Comedian' 'Release Date: December 9, 2016' 'Writers:']"
727,"['Genre: Foreign' 'Devdas' 'Release Date: July 12, 2002' '\xa0$2,745,382']"
728,"['Genre: Comedy' 'Full Frontal' 'Release Date: August 2, 2002'
 '\xa0$3,438,804']"
729,"['Genre: Drama' 'Last Orders' 'Release Date: February 25, 2002'
 '\xa0$6,873,892']"
730,"['Genre: Foreign' 'Russian Ark' 'Release Date: December 13, 2002'
 '\xa0$6,723,732']"
731,"['Genre: Documentary' 'Rivers and Tides' 'Release Date: June 26, 2002'
 '\xa0$2,200,276']"
732,"['Genre: Crime Drama' 'State Property 2' 'Release Date: April 13, 2005'
 '\xa0$1,691,706']"
733,"['Genre: Drama' 'Auto Focus' 'Release Date: October 18, 2002'
 '\xa0$2,704,951']"
734,"['Genre: Action' 'Bulletproof Monk' 'Release Date: April 16, 2003'
 '\xa0$37,713,879']"
